,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
Majestic Root,8.0,0.58,0.16,2.0,0.12,3.0,7.0,0.99454,3.22,0.58,11.2,6
Sensual Petal,10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,6
Mystical Creek,8.9,0.38,0.4,2.2,0.068,12.0,28.0,0.99486,3.27,0.75,12.6,7
Moonlit Branch,8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7,6
Royal Dream,8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7,6
Exotic Murmur,7.0,0.5,0.14,1.8,0.078,10.0,23.0,0.99636,3.53,0.61,10.4,5
Velvet Leaf,11.3,0.36,0.66,2.4,0.123,3.0,8.0,0.99642,3.2,0.53,11.9,6
Lush Saffron,11.3,0.36,0.66,2.4,0.123,3.0,8.0,0.99642,3.2,0.53,11.9,6
Earthy Spice,7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.99584,3.35,0.54,10.5,5
Velvet Lake,8.2,0.32,0.42,2.3,0.098,3.0,9.0,0.99506,3.27,0.55,12.3,6
Elegant Grove,7.7,0.58,0.01,1.8,0.088,12.0,18.0,0.99568,3.32,0.56,10.5,7
Lively Vineyard,8.6,0.83,0.0,2.8,0.095,17.0,43.0,0.99822,3.33,0.6,10.4,6
Wild Meadow,7.9,0.31,0.32,1.9,0.066,14.0,36.0,0.99364,3.41,0.56,12.6,6
Mystic Spring,6.4,0.795,0.0,2.2,0.065,28.0,52.0,0.99378,3.49,0.52,11.6,5
Royal Asteroid,7.2,0.34,0.21,2.5,0.075,41.0,68.0,0.99586,3.37,0.54,10.1,6
Azure Sea,7.7,0.58,0.01,1.8,0.088,12.0,18.0,0.99568,3.32,0.56,10.5,7
Autumn Palace,7.1,0.59,0.0,2.1,0.091,9.0,14.0,0.99488,3.42,0.55,11.5,7
Tempestuous Phantom,7.3,0.55,0.01,1.8,0.093,9.0,15.0,0.99514,3.35,0.58,11.0,7
Lost Saffron,8.1,0.82,0.0,4.1,0.095,5.0,14.0,0.99854,3.36,0.53,9.6,5
Elegant Brook,7.5,0.57,0.08,2.6,0.089,14.0,27.0,0.99592,3.3,0.59,10.4,6
Celestial Palace,8.9,0.745,0.18,2.5,0.077,15.0,48.0,0.99739,3.2,0.47,9.7,6
Harmonious Meadow,10.1,0.37,0.34,2.4,0.085,5.0,17.0,0.99683,3.17,0.65,10.6,7
Earthy Murmur,7.6,0.31,0.34,2.5,0.0819999999999999,26.0,35.0,0.99356,3.22,0.59,12.5,7
Southern Retreat,7.3,0.91,0.1,1.8,0.074,20.0,56.0,0.99672,3.35,0.56,9.2,5
Summer Brook,8.7,0.41,0.41,6.2,0.078,25.0,42.0,0.9953,3.24,0.77,12.6,7
Midnight Tale,8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.99692,3.33,0.83,11.1,6
Ruby Fortress,7.4,0.965,0.0,2.2,0.088,16.0,32.0,0.99756,3.58,0.67,10.2,5
Classic Leaf,6.9,0.49,0.19,1.7,0.079,13.0,26.0,0.99547,3.38,0.64,9.8,6
Eclipse Mountain,8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.99692,3.33,0.83,11.1,6
Gentle Forest,9.5,0.39,0.41,8.9,0.069,18.0,39.0,0.99859,3.29,0.81,10.9,7
Melodic Palace,6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.99294,3.36,0.62,12.2,6
Woody Vanilla,6.9,0.44,0.0,1.4,0.07,32.0,38.0,0.99438,3.32,0.58,11.4,6
Lush Murmur,7.6,0.78,0.0,1.7,0.076,33.0,45.0,0.99612,3.31,0.62,10.7,6
Ruby Meadow,7.1,0.43,0.17,1.8,0.0819999999999999,27.0,51.0,0.99634,3.49,0.64,10.4,5
Ancient Comet,9.3,0.49,0.36,1.7,0.081,3.0,14.0,0.99702,3.27,0.78,10.9,6
Celestial Light,9.3,0.5,0.36,1.8,0.084,6.0,17.0,0.99704,3.27,0.77,10.8,6
Diamond Saffron,7.1,0.43,0.17,1.8,0.0819999999999999,27.0,51.0,0.99634,3.49,0.64,10.4,5
Spring Sea,8.5,0.46,0.59,1.4,0.414,16.0,45.0,0.99702,3.03,1.34,9.2,5
Radiant Nebula,5.6,0.605,0.05,2.4,0.073,19.0,25.0,0.99258,3.56,0.55,12.9,5
Lush Flame,8.3,0.33,0.42,2.3,0.07,9.0,20.0,0.99426,3.38,0.77,12.7,7
Playful Blaze,8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1,6
Lush River,8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1,6
Sapphire Brook,8.9,0.48,0.53,4.0,0.1009999999999999,3.0,10.0,0.99586,3.21,0.59,12.1,7
Woody Sea,7.6,0.42,0.25,3.9,0.104,28.0,90.0,0.99784,3.15,0.57,9.1,5
Romantic Phantom,9.9,0.53,0.57,2.4,0.093,30.0,52.0,0.9971,3.19,0.76,11.6,7
Elegant Castle,8.9,0.48,0.53,4.0,0.1009999999999999,3.0,10.0,0.99586,3.21,0.59,12.1,7
Tempestuous Asteroid,11.6,0.23,0.57,1.8,0.074,3.0,8.0,0.9981,3.14,0.7,9.9,6
Golden Ember,8.0,0.38,0.44,1.9,0.098,6.0,15.0,0.9956,3.3,0.64,11.4,6
Rustic Galaxy,10.2,0.29,0.65,2.4,0.075,6.0,17.0,0.99565,3.22,0.63,11.8,6
Woody Twig,8.2,0.74,0.09,2.0,0.067,5.0,10.0,0.99418,3.28,0.57,11.8,6
Melodic Retreat,7.7,0.61,0.18,2.4,0.083,6.0,20.0,0.9963,3.29,0.6,10.2,6
Mystical Park,6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.99358,3.4,0.72,12.5,7
Vintage Star,11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83,10.9,7
Golden Shadow,11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83,10.9,7
Ancient Vineyard,8.0,0.62,0.35,2.8,0.086,28.0,52.0,0.997,3.31,0.62,10.8,5
Woody Oasis,9.3,0.33,0.45,1.5,0.057,19.0,37.0,0.99498,3.18,0.89,11.1,7
Rustic Mint,7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5
Ruby Thorn,7.2,0.35,0.26,1.8,0.083,33.0,75.0,0.9968,3.4,0.58,9.5,6
Moonlit Fortress,8.0,0.62,0.33,2.7,0.088,16.0,37.0,0.9972,3.31,0.58,10.7,6
Soothing Spring,7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5
Cosmic Pepper,9.1,0.25,0.34,2.0,0.071,45.0,67.0,0.99769,3.44,0.86,10.2,7
Nutty Journey,9.9,0.32,0.56,2.0,0.073,3.0,8.0,0.99534,3.15,0.73,11.4,6
Eclipse Star,8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.99817,3.27,0.58,11.0,5
Silver Spice,8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.99817,3.27,0.58,11.0,5
Dreamy Branch,7.9,0.3,0.68,8.3,0.05,37.5,278.0,0.99316,3.01,0.51,12.3,7
Diamond Ocean,10.3,0.27,0.56,1.4,0.047,3.0,8.0,0.99471,3.16,0.51,11.8,6
Velvet Ocean,7.9,0.3,0.68,8.3,0.05,37.5,289.0,0.99316,3.01,0.51,12.3,7
Dancing Estate,7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,3.42,0.59,9.5,6
Classic Sun,8.7,0.42,0.45,2.4,0.072,32.0,59.0,0.99617,3.33,0.77,12.0,6
Midnight Blossom,7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,3.42,0.59,9.5,6
Fiery Falls,6.8,0.48,0.08,1.8,0.074,40.0,64.0,0.99529,3.12,0.49,9.6,5
Mineral Manor,8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6,7
Spicy Ember,7.9,0.19,0.42,1.6,0.057,18.0,30.0,0.994,3.29,0.69,11.2,6
Cosmic Cinnamon,11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,7
Floral Garden,11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,7
Moonlit Phantom,7.9,0.34,0.42,2.0,0.086,8.0,19.0,0.99546,3.35,0.6,11.4,6
Midnight Universe,7.0,0.54,0.09,2.0,0.081,10.0,16.0,0.99479,3.43,0.59,11.5,6
Autumn Estate,9.2,0.31,0.36,2.2,0.079,11.0,31.0,0.99615,3.33,0.86,12.0,7
Mystical Grove,6.6,0.725,0.09,5.5,0.1169999999999999,9.0,17.0,0.99655,3.35,0.49,10.8,6
Crimson Vanilla,9.4,0.4,0.47,2.5,0.087,6.0,20.0,0.99772,3.15,0.5,10.5,5
Floral Palace,6.6,0.725,0.09,5.5,0.1169999999999999,9.0,17.0,0.99655,3.35,0.49,10.8,6
Enchanted Haven,8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,0.52,9.4,5
Romantic Brook,8.0,0.31,0.45,2.1,0.216,5.0,16.0,0.99358,3.15,0.81,12.5,7
Noon Petal,8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,0.52,9.4,5
Jade Retreat,8.4,0.34,0.42,2.1,0.072,23.0,36.0,0.99392,3.11,0.78,12.4,6
Rustic Tale,7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.99388,3.35,0.63,12.0,6
Bold Tale,6.1,0.48,0.09,1.7,0.078,18.0,30.0,0.99402,3.45,0.54,11.2,6
Joyful Spring,7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.99388,3.35,0.63,12.0,6
Earthy Vision,8.0,0.48,0.34,2.2,0.073,16.0,25.0,0.9936,3.28,0.66,12.4,6
Noon Murmur,6.3,0.57,0.28,2.1,0.048,13.0,49.0,0.99374,3.41,0.6,12.8,5
Midnight Pepper,8.2,0.23,0.42,1.9,0.069,9.0,17.0,0.99376,3.21,0.54,12.3,6
Sensual Vanilla,9.1,0.3,0.41,2.0,0.068,10.0,24.0,0.99523,3.27,0.85,11.7,7
Northern Retreat,8.1,0.78,0.1,3.3,0.09,4.0,13.0,0.99855,3.36,0.49,9.5,5
Lush Shadow,10.8,0.47,0.43,2.1,0.171,27.0,66.0,0.9982,3.17,0.76,10.8,6
Celestial Pepper,8.3,0.53,0.0,1.4,0.07,6.0,14.0,0.99593,3.25,0.64,10.0,6
Morning Forest,5.4,0.42,0.27,2.0,0.092,23.0,55.0,0.99471,3.78,0.64,12.3,7
Mystic Planet,7.9,0.33,0.41,1.5,0.0559999999999999,6.0,35.0,0.99396,3.29,0.71,11.0,6
Lost Vision,8.9,0.24,0.39,1.6,0.074,3.0,10.0,0.99698,3.12,0.59,9.5,6
Vibrant Tale,5.0,0.4,0.5,4.3,0.046,29.0,80.0,0.9902,3.49,0.66,13.6,6
Mystic Vanilla,7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,6
Azure Garden,7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,6
Wild Orchard,7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,6
Galactic Domain,7.1,0.39,0.12,2.1,0.065,14.0,24.0,0.99252,3.3,0.53,13.3,6
Tempestuous River,5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.99256,3.52,0.58,12.9,5
Floral Mirage,6.6,0.5,0.0,1.8,0.062,21.0,28.0,0.99352,3.44,0.55,12.3,6
Azure Cinnamon,6.3,0.47,0.0,1.4,0.055,27.0,33.0,0.9922,3.45,0.48,12.3,6
Autumn Castle,10.7,0.4,0.37,1.9,0.081,17.0,29.0,0.99674,3.12,0.65,11.2,6
Playful Twig,6.5,0.58,0.0,2.2,0.096,3.0,13.0,0.99557,3.62,0.62,11.5,4
Serene Park,8.8,0.24,0.35,1.7,0.055,13.0,27.0,0.99394,3.14,0.59,11.3,7
Twilight Pepper,5.8,0.29,0.26,1.7,0.063,3.0,11.0,0.9915,3.39,0.54,13.5,6
Silver Murmur,6.3,0.76,0.0,2.9,0.072,26.0,52.0,0.99379,3.51,0.6,11.5,6
Rustic Ginger,10.0,0.43,0.33,2.7,0.095,28.0,89.0,0.9984,3.22,0.68,10.0,5
Secret Meadow,10.5,0.43,0.35,3.3,0.092,24.0,70.0,0.99798,3.21,0.69,10.5,6
Fiery Garden,9.1,0.6,0.0,1.9,0.0579999999999999,5.0,10.0,0.9977,3.18,0.63,10.4,6
Tranquil Vision,5.9,0.19,0.21,1.7,0.045,57.0,135.0,0.99341,3.32,0.44,9.5,5
Rustic Vineyard,7.4,0.36,0.34,1.8,0.075,18.0,38.0,0.9933,3.38,0.88,13.6,7
Dreamy Reserve,7.2,0.48,0.07,5.5,0.089,10.0,18.0,0.99684,3.37,0.68,11.2,7
Lively Harbor,8.5,0.28,0.35,1.7,0.061,6.0,15.0,0.99524,3.3,0.74,11.8,7
Dreamy Bloom,8.0,0.25,0.43,1.7,0.067,22.0,50.0,0.9946,3.38,0.6,11.9,6
Jade Comet,10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,0.76,11.4,6
Western Domain,10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,0.76,11.4,6
Diamond Pepper,7.5,0.41,0.15,3.7,0.104,29.0,94.0,0.99786,3.14,0.58,9.1,5
Passionate Sanctuary,8.2,0.51,0.24,2.0,0.079,16.0,86.0,0.99764,3.34,0.64,9.5,6
Enchanted Meteor,7.3,0.4,0.3,1.7,0.08,33.0,79.0,0.9969,3.41,0.65,9.5,6
Lush Creek,8.2,0.38,0.32,2.5,0.08,24.0,71.0,0.99624,3.27,0.85,11.0,6
Enchanted Brook,6.9,0.45,0.11,2.4,0.043,6.0,12.0,0.99354,3.3,0.65,11.4,6
Dreamy Ginger,7.0,0.22,0.3,1.8,0.065,16.0,20.0,0.99672,3.61,0.82,10.0,6
Southern Vision,7.3,0.32,0.23,2.3,0.066,35.0,70.0,0.99588,3.43,0.62,10.1,5
Enchanted Vision,8.2,0.2,0.43,2.5,0.076,31.0,51.0,0.99672,3.53,0.81,10.4,6
Joyful Journey,7.8,0.5,0.12,1.8,0.178,6.0,21.0,0.996,3.28,0.87,9.8,6
Enchanted Tale,10.0,0.41,0.45,6.2,0.071,6.0,14.0,0.99702,3.21,0.49,11.8,7
Velvet Sanctuary,7.8,0.39,0.42,2.0,0.086,9.0,21.0,0.99526,3.39,0.66,11.6,6
Diamond Valley,10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,3.23,0.52,12.0,6
Romantic Fortress,8.2,0.33,0.32,2.8,0.067,4.0,12.0,0.99473,3.3,0.76,12.8,7
Whispering Petal,6.1,0.58,0.23,2.5,0.044,16.0,70.0,0.99352,3.46,0.65,12.5,6
Silver Blaze,8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,5
Pearl Mountain,9.6,0.42,0.35,2.1,0.083,17.0,38.0,0.99622,3.23,0.66,11.1,6
Lush Garden,6.6,0.58,0.0,2.2,0.1,50.0,63.0,0.99544,3.59,0.68,11.4,6
Mystic Phantom,8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,5
Tempestuous Sun,8.5,0.18,0.51,1.75,0.071,45.0,88.0,0.99524,3.33,0.76,11.8,7
Celestial Grove,5.1,0.51,0.18,2.1,0.042,16.0,101.0,0.9924,3.46,0.87,12.9,7
Winter Ember,6.7,0.41,0.43,2.8,0.076,22.0,54.0,0.99572,3.42,1.16,10.6,6
Sensual Falls,10.2,0.41,0.43,2.2,0.11,11.0,37.0,0.99728,3.16,0.67,10.8,5
Southern Reserve,10.6,0.36,0.57,2.3,0.087,6.0,20.0,0.99676,3.14,0.72,11.1,7
Pearl Manor,8.8,0.45,0.43,1.4,0.076,12.0,21.0,0.99551,3.21,0.75,10.2,6
Pearl Sun,8.5,0.32,0.42,2.3,0.075,12.0,19.0,0.99434,3.14,0.71,11.8,7
Mineral Pepper,9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,5
Mineral Phantom,9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,5
Earthy Branch,8.5,0.44,0.5,1.9,0.369,15.0,38.0,0.99634,3.01,1.1,9.4,5
Silent Creek,9.9,0.54,0.26,2.0,0.111,7.0,60.0,0.99709,2.94,0.98,10.2,5
Woody Root,8.2,0.33,0.39,2.5,0.074,29.0,48.0,0.99528,3.32,0.88,12.4,7
Soothing Falls,6.5,0.34,0.27,2.8,0.067,8.0,44.0,0.99384,3.21,0.56,12.0,6
Spicy Meteor,7.6,0.5,0.29,2.3,0.086,5.0,14.0,0.99502,3.32,0.62,11.5,6
Ancient Pepper,9.2,0.36,0.34,1.6,0.062,5.0,12.0,0.99667,3.2,0.67,10.5,6
Infinite Sun,7.1,0.59,0.0,2.2,0.078,26.0,44.0,0.99522,3.42,0.68,10.8,6
Moonlit River,9.7,0.42,0.46,2.1,0.074,5.0,16.0,0.99649,3.27,0.74,12.3,6
Floral Manor,7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,6
Emerald Twig,7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,6
Nutty Basil,6.5,0.61,0.0,2.2,0.095,48.0,59.0,0.99541,3.61,0.7,11.5,6
Eastern Light,6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,3.58,0.5,11.2,4
Earthy Grove,7.1,0.66,0.0,2.4,0.052,6.0,11.0,0.99318,3.35,0.66,12.7,7
Romantic Journey,5.6,0.915,0.0,2.1,0.0409999999999999,17.0,78.0,0.99346,3.68,0.73,11.4,5
Passionate Branch,8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,6
Whispering Echo,8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,6
Sapphire Journey,9.8,0.39,0.43,1.65,0.068,5.0,11.0,0.99478,3.19,0.46,11.4,5
Infinite Garden,10.2,0.4,0.4,2.5,0.068,41.0,54.0,0.99754,3.38,0.86,10.5,6
Majestic Quest,6.8,0.66,0.07,1.6,0.07,16.0,61.0,0.99572,3.29,0.6,9.3,5
Tempestuous Villa,6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,5
Classic Branch,7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6
Classic Tale,6.6,0.8,0.03,7.8,0.079,6.0,12.0,0.9963,3.52,0.5,12.2,5
Jade Moon,7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6
Velvet Universe,6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,5
Spicy Vision,8.8,0.955,0.05,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,4
Twilight Ember,9.1,0.4,0.57,4.6,0.08,6.0,20.0,0.99652,3.28,0.57,12.5,6
Moonlit Ocean,6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,5
Morning Blossom,7.2,0.25,0.37,2.5,0.063,11.0,41.0,0.99439,3.52,0.8,12.4,7
Sapphire Falls,6.4,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,5
Serene Sea,7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.99588,3.22,0.59,9.5,6
Opal Murmur,6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.99633,3.52,0.6,9.5,6
Dreamy Adventure,7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,6
Vintage Branch,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8,6
Nutty Spring,7.7,0.26,0.26,2.0,0.052,19.0,77.0,0.9951,3.15,0.79,10.9,6
Whispering Fortress,7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,6
Fruity Root,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8,6
Dreamy Murmur,7.9,0.34,0.36,1.9,0.065,5.0,10.0,0.99419,3.27,0.54,11.2,7
Midnight Odyssey,9.9,0.74,0.19,5.8,0.111,33.0,76.0,0.99878,3.14,0.55,9.4,5
Lost Garden,7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7
Serene Whisper,7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7
Spring Garden,7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7
Nutty Chateau,9.9,0.72,0.55,1.7,0.136,24.0,52.0,0.99752,3.35,0.94,10.0,5
Spicy Journey,7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7
Tranquil Expedition,6.2,0.39,0.43,2.0,0.071,14.0,24.0,0.99428,3.45,0.87,11.2,7
Lost Echo,6.8,0.65,0.02,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,10.4,6
Melodic Saffron,6.6,0.44,0.15,2.1,0.076,22.0,53.0,0.9957,3.32,0.62,9.3,5
Classic Spring,6.8,0.65,0.02,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,10.4,6
Mineral Odyssey,9.6,0.38,0.42,1.9,0.071,5.0,13.0,0.99659,3.15,0.75,10.5,6
Celestial Spark,10.2,0.33,0.46,1.9,0.081,6.0,9.0,0.99628,3.1,0.48,10.4,6
Autumn Saga,8.8,0.27,0.46,2.1,0.095,20.0,29.0,0.99488,3.26,0.56,11.3,6
Woody Lake,7.9,0.57,0.31,2.0,0.079,10.0,79.0,0.99677,3.29,0.69,9.5,6
Bold Comet,8.2,0.34,0.37,1.9,0.057,43.0,74.0,0.99408,3.23,0.81,12.0,6
Herbal Odyssey,8.2,0.4,0.31,1.9,0.0819999999999999,8.0,24.0,0.996,3.24,0.69,10.6,6
Romantic Spice,9.0,0.39,0.4,1.3,0.044,25.0,50.0,0.99478,3.2,0.83,10.9,6
Serene Chateau,10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,6
Mystical Comet,10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,6
Floral Nebula,8.1,0.53,0.22,2.2,0.078,33.0,89.0,0.99678,3.26,0.46,9.6,6
Eastern Meteor,10.5,0.36,0.47,2.2,0.074,9.0,23.0,0.99638,3.23,0.76,12.0,6
Moonlit Bloom,12.6,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,6
Tempestuous Blossom,9.2,0.46,0.23,2.6,0.091,18.0,77.0,0.99922,3.15,0.51,9.4,5
Joyful Expedition,7.5,0.58,0.03,4.1,0.08,27.0,46.0,0.99592,3.02,0.47,9.2,5
Noon Sanctuary,9.0,0.58,0.25,2.0,0.104,8.0,21.0,0.99769,3.27,0.72,9.6,5
Royal Orchard,5.1,0.42,0.0,1.8,0.044,18.0,88.0,0.99157,3.68,0.73,13.6,7
Playful Ginger,7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,5
Azure Castle,7.7,0.18,0.34,2.7,0.066,15.0,58.0,0.9947,3.37,0.78,11.8,6
Winter Mountain,7.8,0.815,0.01,2.6,0.074,48.0,90.0,0.99621,3.38,0.62,10.8,5
Classic Cinnamon,7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,5
Northern Thorn,10.2,0.23,0.37,2.2,0.057,14.0,36.0,0.99614,3.23,0.49,9.3,4
Hidden Meteor,7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,6
Morning Murmur,6.0,0.33,0.32,12.9,0.054,6.0,113.0,0.99572,3.3,0.56,11.5,4
Enchanted Leaf,7.8,0.55,0.0,1.7,0.07,7.0,17.0,0.99659,3.26,0.64,9.4,6
Mineral Adventure,7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,6
Emerald Forest,8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,4
Eastern Basil,6.5,0.67,0.0,4.3,0.057,11.0,20.0,0.99488,3.45,0.56,11.8,4
Vibrant Planet,7.5,0.61,0.2,1.7,0.076,36.0,60.0,0.99494,3.1,0.4,9.3,5
Eclipse Adventure,9.8,0.37,0.39,2.5,0.079,28.0,65.0,0.99729,3.16,0.59,9.8,5
Floral Expedition,9.0,0.4,0.41,2.0,0.0579999999999999,15.0,40.0,0.99414,3.22,0.6,12.2,6
Secret Spark,8.3,0.56,0.22,2.4,0.0819999999999999,10.0,86.0,0.9983,3.37,0.62,9.5,5
Serene Meteor,5.9,0.29,0.25,13.4,0.067,72.0,160.0,0.99721,3.33,0.54,10.3,6
Exotic Sanctuary,7.4,0.55,0.19,1.8,0.0819999999999999,15.0,34.0,0.99655,3.49,0.68,10.5,5
Forgotten Odyssey,7.4,0.74,0.07,1.7,0.086,15.0,48.0,0.99502,3.12,0.48,10.0,5
Soothing Brook,7.4,0.55,0.19,1.8,0.0819999999999999,15.0,34.0,0.99655,3.49,0.68,10.5,5
Hidden Voyage,6.9,0.41,0.33,2.2,0.081,22.0,36.0,0.9949,3.41,0.75,11.1,6
Legendary Light,7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61,10.9,6
Opal Expedition,7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61,10.9,6
Wild Fortress,7.5,0.58,0.14,2.2,0.077,27.0,60.0,0.9963,3.28,0.59,9.8,5
Classic Asteroid,7.1,0.72,0.0,1.8,0.123,6.0,14.0,0.99627,3.45,0.58,9.8,5
Wild Meteor,7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,3.43,0.58,9.5,5
Spicy Spark,7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.99628,3.4,0.69,10.9,5
Golden Galaxy,6.1,0.64,0.02,2.4,0.069,26.0,46.0,0.99358,3.47,0.45,11.0,5
Southern Ocean,7.5,0.59,0.22,1.8,0.0819999999999999,43.0,60.0,0.99499,3.1,0.42,9.2,5
Diamond Ginger,7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.99633,3.32,0.7,11.0,6
Silver Twig,6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,6
Emerald Nebula,6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,6
Earthy Flame,8.6,0.635,0.68,1.8,0.4029999999999999,19.0,56.0,0.99632,3.02,1.15,9.3,5
Wild Moon,6.3,1.02,0.0,2.0,0.083,17.0,24.0,0.99437,3.59,0.55,11.2,4
Northern Whisper,9.8,0.45,0.38,2.5,0.081,34.0,66.0,0.99726,3.15,0.58,9.8,5
Serene Vineyard,8.2,0.78,0.0,2.2,0.089,13.0,26.0,0.9978,3.37,0.46,9.6,4
Eastern Cinnamon,8.5,0.37,0.32,1.8,0.066,26.0,51.0,0.99456,3.38,0.72,11.8,6
Noon Journey,7.2,0.57,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,10.3,6
Secret Petal,7.2,0.57,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,10.3,6
Crimson Villa,10.4,0.43,0.5,2.3,0.068,13.0,19.0,0.996,3.1,0.87,11.4,6
